email,user_type,password
shawncabrera@student.cuk.ac.ke,admin,kz4AHtCL_kN%
xrodriguez@student.cuk.ac.ke,polling_officer,oS8ozOKjS!&Z
greenebrandon@student.cuk.ac.ke,polling_officer,wOYZykie%&7+
cheyenneolsen@student.cuk.ac.ke,admin,iuJx%2Ng#*)_
loricarpenter@student.cuk.ac.ke,delegate,_@Ec0LoM*22I
slee@student.cuk.ac.ke,polling_officer,k6(H(Jta#mDm
craig99@student.cuk.ac.ke,delegate,^#s5S(gy1)E*
tinafreeman@student.cuk.ac.ke,admin,y@!S)n+ysG63
qferguson@student.cuk.ac.ke,polling_officer,^nxVzFq1Q5JA
patelsarah@student.cuk.ac.ke,delegate,^@9vApQVyT*J
